Car_Name,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age
73,3.35,5.59,27000,2,0,1,0,10
82,4.75,9.54,43000,1,0,1,0,11
24,7.25,9.85,6900,2,0,1,0,7
91,2.85,4.15,5200,2,0,1,0,13
81,4.6,6.87,42450,1,0,1,0,10
90,9.25,9.83,2071,1,0,1,0,6
24,6.75,8.12,18796,2,0,1,0,9
79,6.5,8.61,33429,1,0,1,0,9
24,8.75,8.89,20273,1,0,1,0,8
24,7.45,8.92,42367,1,0,1,0,9
3,2.85,3.6,2135,2,0,1,0,7
24,6.85,10.38,51000,1,0,1,0,9
24,7.5,9.94,15000,2,0,0,0,9
32,6.1,7.71,26000,2,0,1,0,9
29,2.25,7.21,77427,2,0,1,0,15
32,7.75,10.79,43000,1,0,1,0,8
32,7.25,10.79,41678,1,0,1,0,9
91,3.25,5.09,35500,0,0,1,0,9
82,2.65,7.98,41442,2,0,1,0,14
4,2.85,3.95,25000,2,0,1,0,8
64,4.9,5.71,2400,2,0,1,0,7
82,4.4,8.01,50000,2,0,0,0,13
4,2.5,3.46,45280,2,0,1,0,10
91,2.9,4.41,56879,2,0,1,0,11
81,3.0,4.99,20000,2,0,1,0,13
81,4.15,5.87,55138,2,0,1,0,11
81,6.0,6.49,16200,2,1,1,0,7
4,1.95,3.95,44542,2,0,1,0,14
24,7.45,10.38,45000,1,0,1,0,9
73,3.1,5.98,51439,1,0,1,0,12
73,2.35,4.89,54200,2,0,1,0,13
81,4.95,7.49,39000,1,0,1,0,10
32,6.0,9.95,45000,1,0,1,0,10
29,5.5,8.06,45000,1,0,1,0,10
82,2.95,7.74,49998,0,0,1,0,13
29,4.65,7.2,48767,2,0,1,0,9
0,0.35,2.28,127000,2,1,1,0,21
4,3.0,3.76,10079,2,0,1,0,8
82,2.25,7.98,62000,2,0,1,0,21
21,5.85,7.87,24524,2,0,0,0,8
4,2.55,3.98,46706,2,0,1,0,10
82,1.95,7.15,58000,2,0,1,0,16
29,5.5,8.06,45780,1,0,1,0,10
72,1.25,2.69,50000,2,0,1,0,12
24,7.5,12.04,15000,2,0,0,0,10
73,2.65,4.89,64532,2,0,1,0,11
91,1.05,4.15,65000,2,0,1,0,18
32,5.8,7.71,25870,2,0,1,0,9
